Taxon,x,y
DINTBH345,24.058499,-74.541294
DINTBH346,24.058499,-74.541294
DINTBH346,24.058499,-74.541294
DINTBH347,24.058499,-74.541294
DINTBH347,24.058499,-74.541294
DINTBH348,24.058499,-74.541294
DINTBH348,24.058499,-74.541294
DINTBH349,24.058499,-74.541294
DINTBH349,24.058499,-74.541294
DINTBH350,24.058499,-74.541294
DINTBH350,24.058499,-74.541294
DINTBH351,24.058499,-74.541294
DINTBH351,24.058499,-74.541294
DINTBH352,24.058499,-74.541294
DINTBH352,24.058499,-74.541294
DINTBH353,24.058499,-74.541294
DINTBH353,24.058499,-74.541294
DINTBH354,24.058499,-74.541294
DINTBH354,24.058499,-74.541294
DINTBH356,24.058499,-74.541294
DINTBH356,24.058499,-74.541294
DINTBH357,24.058499,-74.541294
DINTBH357,24.058499,-74.541294
DINTBH358,24.058499,-74.541294
DINTBH358,24.058499,-74.541294
DINTBH359,24.058499,-74.541294
DINTBH359,24.058499,-74.541294
DINTBH360,24.058499,-74.541294
DINTBH360,24.058499,-74.541294
DINTBH361,24.058499,-74.541294
DINTBH361,24.058499,-74.541294
DINTBH362,24.058499,-74.541294
DINTBH362,24.058499,-74.541294
DINTBH363,24.058499,-74.541294
DINTBH363,24.058499,-74.541294
DINTBH364,24.058499,-74.541294
DINTBH364,24.058499,-74.541294
DINTBH365,24.058499,-74.541294
DINTBH365,24.058499,-74.541294
DINTBH366,24.058499,-74.541294
DINTBH366,24.058499,-74.541294
LLATBE163,16.800833,-88.078867
LLATBE163,16.800833,-88.078867
LLATBE165,16.800833,-88.078867
LLATBE165,16.800833,-88.078867
LLATBE166,16.800833,-88.078867
LLATBE166,16.800833,-88.078867
LLATBE167,16.800833,-88.078867
LLATBE167,16.800833,-88.078867
LLATBE168,16.800833,-88.078867
LLATBE168,16.800833,-88.078867
LLATBE169,16.800833,-88.078867
LLATBE169,16.800833,-88.078867
LLATCOL553,12.511436,-81.731
LLATCOL553,12.511436,-81.731
LLATCOL554,12.511436,-81.731
LLATCOL554,12.511436,-81.731
LLATCOL555,12.511436,-81.731
LLATCOL555,12.511436,-81.731
LLATCOL557,12.511436,-81.731
LLATCOL557,12.511436,-81.731
LLATCOL559,12.511436,-81.731
LLATCOL559,12.511436,-81.731
LLATCOL560,12.511436,-81.731
LLATCOL560,12.511436,-81.731
LLATCOL561,12.511436,-81.731
LLATCOL561,12.511436,-81.731
LLATCOL562,12.511436,-81.731
LLATCOL562,12.511436,-81.731
LLATCUZ542,12.121317,-68.969583
LLATCUZ542,12.121317,-68.969583
LLATCUZ544,12.121317,-68.969583
LLATCUZ544,12.121317,-68.969583
LLATCUZ545,12.121317,-68.969583
LLATCUZ545,12.121317,-68.969583
LLATCUZ546,12.121317,-68.969583
LLATCUZ546,12.121317,-68.969583
LLATCUZ547,12.121317,-68.969583
LLATCUZ547,12.121317,-68.969583
LLATCUZ549,12.121317,-68.969583
LLATCUZ549,12.121317,-68.969583
LLATCUZ550,12.121317,-68.969583
LLATCUZ550,12.121317,-68.969583
LLATCUZ551,12.121317,-68.969583
LLATCUZ551,12.121317,-68.969583
LPARBE158,16.800833,-88.078867
LPARBE158,16.800833,-88.078867
LPARBE159,16.800833,-88.078867
LPARBE159,16.800833,-88.078867
LPARBE192,16.800833,-88.078867
LPARBE192,16.800833,-88.078867
LPARBE201,16.800833,-88.078867
LPARBE201,16.800833,-88.078867
