"x" "y"
"583" -5191938.56324443 -912877.83480681
"584" -5081938.56324443 -912877.83480681
"585" -4971938.56324443 -912877.83480681
"586" -4861938.56324443 -912877.83480681
"587" -4751938.56324443 -912877.83480681
"588" -4201938.56324443 -912877.83480681
"589" -4091938.56324443 -912877.83480681
"590" -3981938.56324443 -912877.83480681
"591" -3871938.56324443 -912877.83480681
"592" -3761938.56324443 -912877.83480681
"593" -3651938.56324443 -912877.83480681
"594" -3541938.56324443 -912877.83480681
"595" -7611938.56324443 -1022877.83480681
"596" -7501938.56324443 -1022877.83480681
"597" -7391938.56324443 -1022877.83480681
"598" -7281938.56324443 -1022877.83480681
"599" -7171938.56324443 -1022877.83480681
"600" -7061938.56324443 -1022877.83480681
"601" -6951938.56324443 -1022877.83480681
"602" -6841938.56324443 -1022877.83480681
"603" -6731938.56324443 -1022877.83480681
"604" -6621938.56324443 -1022877.83480681
"605" -6511938.56324443 -1022877.83480681
"606" -6401938.56324443 -1022877.83480681
"607" -6291938.56324443 -1022877.83480681
"608" -6181938.56324443 -1022877.83480681
"609" -6071938.56324443 -1022877.83480681
"610" -5961938.56324443 -1022877.83480681
"611" -5851938.56324443 -1022877.83480681
"612" -5741938.56324443 -1022877.83480681
"613" -5631938.56324443 -1022877.83480681
"614" -5521938.56324443 -1022877.83480681
"615" -5411938.56324443 -1022877.83480681
"616" -5301938.56324443 -1022877.83480681
"617" -5191938.56324443 -1022877.83480681
"618" -5081938.56324443 -1022877.83480681
"619" -4971938.56324443 -1022877.83480681
"620" -4861938.56324443 -1022877.83480681
"621" -4751938.56324443 -1022877.83480681
"622" -4311938.56324443 -1022877.83480681
"623" -4201938.56324443 -1022877.83480681
"624" -4091938.56324443 -1022877.83480681
"625" -3981938.56324443 -1022877.83480681
"626" -3871938.56324443 -1022877.83480681
"627" -3761938.56324443 -1022877.83480681
"628" -3651938.56324443 -1022877.83480681
"629" -3541938.56324443 -1022877.83480681
"630" -7501938.56324443 -1132877.83480681
"631" -7391938.56324443 -1132877.83480681
"632" -7281938.56324443 -1132877.83480681
"633" -7171938.56324443 -1132877.83480681
"634" -7061938.56324443 -1132877.83480681
"635" -6951938.56324443 -1132877.83480681
"636" -6841938.56324443 -1132877.83480681
"637" -6731938.56324443 -1132877.83480681
"638" -6621938.56324443 -1132877.83480681
"639" -6511938.56324443 -1132877.83480681
"640" -6401938.56324443 -1132877.83480681
"641" -6291938.56324443 -1132877.83480681
"642" -6181938.56324443 -1132877.83480681
"643" -6071938.56324443 -1132877.83480681
"644" -5961938.56324443 -1132877.83480681
"645" -5851938.56324443 -1132877.83480681
"646" -5741938.56324443 -1132877.83480681
"647" -5631938.56324443 -1132877.83480681
"648" -5521938.56324443 -1132877.83480681
"649" -5411938.56324443 -1132877.83480681
"650" -5301938.56324443 -1132877.83480681
"651" -5191938.56324443 -1132877.83480681
"652" -5081938.56324443 -1132877.83480681
"653" -4971938.56324443 -1132877.83480681
"654" -4861938.56324443 -1132877.83480681
"655" -4751938.56324443 -1132877.83480681
"656" -4641938.56324443 -1132877.83480681
"657" -4311938.56324443 -1132877.83480681
"658" -4201938.56324443 -1132877.83480681
"659" -4091938.56324443 -1132877.83480681
"660" -3981938.56324443 -1132877.83480681
"661" -3871938.56324443 -1132877.83480681
"662" -3761938.56324443 -1132877.83480681
"663" -3651938.56324443 -1132877.83480681
"664" -3541938.56324443 -1132877.83480681
"665" -7501938.56324443 -1242877.83480681
"666" -7391938.56324443 -1242877.83480681
"667" -7281938.56324443 -1242877.83480681
"668" -7171938.56324443 -1242877.83480681
"669" -7061938.56324443 -1242877.83480681
"670" -6951938.56324443 -1242877.83480681
"671" -6841938.56324443 -1242877.83480681
"672" -6731938.56324443 -1242877.83480681
"673" -6621938.56324443 -1242877.83480681
"674" -6511938.56324443 -1242877.83480681
"675" -6401938.56324443 -1242877.83480681
"676" -6291938.56324443 -1242877.83480681
"677" -6181938.56324443 -1242877.83480681
"678" -6071938.56324443 -1242877.83480681
"679" -5961938.56324443 -1242877.83480681
"680" -5851938.56324443 -1242877.83480681
"681" -5741938.56324443 -1242877.83480681
"682" -5631938.56324443 -1242877.83480681
"683" -5521938.56324443 -1242877.83480681
"684" -5411938.56324443 -1242877.83480681
"685" -5301938.56324443 -1242877.83480681
"686" -5191938.56324443 -1242877.83480681
"687" -5081938.56324443 -1242877.83480681
"688" -4971938.56324443 -1242877.83480681
"689" -4861938.56324443 -1242877.83480681
"690" -4751938.56324443 -1242877.83480681
"691" -4641938.56324443 -1242877.83480681
"692" -4311938.56324443 -1242877.83480681
"693" -4201938.56324443 -1242877.83480681
"694" -4091938.56324443 -1242877.83480681
"695" -3981938.56324443 -1242877.83480681
"696" -3871938.56324443 -1242877.83480681
"697" -3761938.56324443 -1242877.83480681
"698" -3651938.56324443 -1242877.83480681
"699" -7391938.56324443 -1352877.83480681
