Id	fly	side	image	rep	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30
c0003d01m19l2_2	c0003d01m19	l	2	2	-0.2530727484444104	0.06267618389869938	-0.23662581749861983	0.014731458368032642	-0.268243722925999	-0.019730180575505473	-0.2125369326000603	-0.06364642473863942	-0.1977946476028622	-0.04649404665985729	-0.1656354339213888	0.023289511636037017	-0.13862763620271784	0.09055244834129897	-0.06374870312653638	0.01921480043339356	-0.06296667522441393	-0.005321208409602541	0.09399986349868496	-0.03090497622899501	0.09226905948470068	-0.09304866906764407	0.2956300401432754	0.17355754149526054	0.46802094620722157	0.0710793653711835	0.46184071983118935	-0.017063209439666167	0.18749168838193636	-0.1788925944239964
c0003d01m19r1_1	c0003d01m19	r	1	1	-0.25195460576329487	0.06401101943266518	-0.2367073384734018	0.01676418990743524	-0.269350081101978	-0.018642232974863657	-0.21084102898999676	-0.0644383077846976	-0.19652813720865786	-0.047647705377550684	-0.16272969658328912	0.02279343481809658	-0.1371544492170121	0.09063336285438964	-0.06623215393812494	0.01883212732203583	-0.06721929631377122	-0.005291762513890701	0.09508836068921558	-0.029760414067106424	0.09391692653965823	-0.09418210621857788	0.2881108226725627	0.17453069846894692	0.4721599589218914	0.07354497475756049	0.46130126428180884	-0.020963330636722247	0.18813945448438915	-0.18018394798771986
c0003d01m19r1_2	c0003d01m19	r	1	2	-0.25178449343496645	0.06425007750022509	-0.23673182563981718	0.018076225618551687	-0.27021739417871954	-0.01857123410023119	-0.2104754509445848	-0.06519572598534393	-0.19636186928150517	-0.04735975434404972	-0.162393853780243	0.02201409390502999	-0.1378925433621338	0.08963529402281645	-0.06612106243163464	0.01912054249129693	-0.06710625676601951	-0.004995033422097192	0.09515127247201725	-0.029426600135904944	0.09398922609488072	-0.0938288038454187	0.28720950682911867	0.1735802495050474	0.4722616486487311	0.07285391225754276	0.462279849601572	-0.020371041636773307	0.18819324617330496	-0.17978220183069205
c0003d01m19r2_1	c0003d01m19	r	2	1	-0.2522788545399904	0.06434789366193977	-0.23829238301804195	0.017087836914804838	-0.26865310266331677	-0.018280142514312647	-0.21083187649958024	-0.06548037749821195	-0.19617518500943065	-0.04791497059070014	-0.16294366875768837	0.02318455325052876	-0.1375829464561745	0.09031012482738429	-0.06575788117990508	0.019972174380235887	-0.06635056464426463	-0.0064690613900493426	0.09550040161285157	-0.02902543512912198	0.09482915734548071	-0.09384684795450383	0.28730979565246684	0.17442764538055977	0.472549059210349	0.07276657659782193	0.46085754663458717	-0.020860786522608102	0.18782050231265765	-0.18021918341376675
c0003d01m19r2_2	c0003d01m19	r	2	2	-0.2524799631640991	0.06421295641211687	-0.2376563044127657	0.018206058355582075	-0.2688260556937525	-0.018482853945039523	-0.20990283662782858	-0.06545582226182699	-0.19524224222111697	-0.04786900413118697	-0.16305770194837535	0.023061667284600403	-0.1377085623085785	0.09024575906405374	-0.06660551060754907	0.01860840522971835	-0.06661532825914812	-0.005528407158146573	0.09455716230962097	-0.029309022532018954	0.09391428198937762	-0.09418148700928657	0.28746019428496766	0.17461402571294826	0.4728822887826098	0.0729570720367802	0.4612239753695723	-0.02074035067938565	0.18805660250706466	-0.18033899637890724
c0003d01m20l1_1	c0003d01m20	l	1	1	-0.2513534286374528	0.0629816937763445	-0.23756344858817233	0.01671802859220545	-0.2697497619299927	-0.021900485019373146	-0.20917395503341657	-0.0660689297985852	-0.19780951636046057	-0.04740579432200946	-0.16571119148368688	0.023292406352455906	-0.13543321077975146	0.09160711655829035	-0.059300134714243974	0.019597572773853753	-0.062308996201935994	-0.005418041115732089	0.08773748758426592	-0.030986645737805883	0.0865791156273599	-0.09319621134995675	0.2941581698769303	0.1736436581630481	0.4717407391351052	0.0715874124146362	0.46427819803947856	-0.015016797259142456	0.18390993346597506	-0.17943498402822897
c0003d01m20l1_2	c0003d01m20	l	1	2	-0.2506808758562284	0.06372709607898382	-0.23884756858079886	0.01614163165610676	-0.2690619684987501	-0.021130546266336807	-0.2095473848325014	-0.06542665362517568	-0.1969956175078467	-0.047671037295457006	-0.16372336629970735	0.022103315731447352	-0.13570473665809313	0.09116147091982418	-0.06092175928289298	0.021143891108867535	-0.0627357219945535	-0.0047732490101361135	0.08755470174983682	-0.032412927482465	0.08731263452208793	-0.09341120219711002	0.29360598717802794	0.17428171393581926	0.4711421707531228	0.07227733329039662	0.4648848958179677	-0.015206622685289627	0.18371860949032986	-0.18080421415947412
c0003d01m20l2_1	c0003d01m20	l	2	1	-0.25234124737261454	0.06231417073196062	-0.23691488310455863	0.017249388886690573	-0.2692576483305472	-0.022207334366289883	-0.20910550915055545	-0.06578916758431702	-0.19865209414206597	-0.04733423681801127	-0.16497405314591923	0.02330748786442669	-0.13418539596248247	0.09143384896359583	-0.05985758672487344	0.02080460607836736	-0.061861654124398924	-0.005118493534643719	0.0870246687959916	-0.031922021599903094	0.08633122811309918	-0.09296345124111918	0.2935742248569683	0.17433908225367917	0.4714253896517575	0.07213232649853431	0.4645195028246463	-0.015378663860729343	0.18427505781555625	-0.18086754227224117
c0003d01m20l2_2	c0003d01m20	l	2	2	-0.2522256414322393	0.06264620368290641	-0.23788025360927556	0.01745386270309238	-0.2682681178978008	-0.02064263774929035	-0.21013366517732268	-0.06556398680973838	-0.19743580177831294	-0.047901442546906564	-0.16583589921270578	0.02241962140953544	-0.13528665590421782	0.09260165640185362	-0.0597117850288919	0.01999177998135908	-0.06159797016236915	-0.006971319976276351	0.08799139682118576	-0.03161558973491778	0.08740217853385072	-0.09368112865163311	0.293525996530958	0.1743034209025242	0.4712426851789781	0.07203348196854484	0.4642868783109202	-0.015434261450720195	0.1839266548272451	-0.1796396601303327
c0003d01m20r1_1	c0003d01m20	r	1	1	-0.25062389113227496	0.06512236791080324	-0.23824827760831985	0.01769029536855009	-0.2693736240483917	-0.017537574134661532	-0.21048890125438924	-0.06468560633090004	-0.19618982249562242	-0.04893711351851096	-0.16314190437619677	0.02131057172189704	-0.13636140034757113	0.09035658510275925	-0.0640978698633897	0.018709716896152452	-0.06678737648536075	-0.006714490164801185	0.09069709542864092	-0.03164216602031744	0.08877687642448645	-0.09481787701840416	0.2961579629140584	0.1724931504770339	0.46855214925883715	0.07571310709565314	0.46265642389982625	-0.017466071981333042	0.1884725596856691	-0.17959489540392026
